ts,"t1p_belastningil3 | powerlab/bornholm/nm/sec/ost/t1p_belastningil3 | 516132","t1s_reaktiveffekt | powerlab/bornholm/nm/sec/ost/t1s_reaktiveffekt | 516139","t1s_cosphi | powerlab/bornholm/nm/sec/ost/t1s_cosphi | 516136","t1s_frekvens | powerlab/bornholm/nm/sec/ost/t1s_frekvens | 516138","t1s_sptrinvisning | powerlab/bornholm/nm/sec/ost/t1s_sptrinvisning | 516143","t1s_cosphitrf1 | powerlab/bornholm/nm/sec/ost/t1s_cosphitrf1 | 516137","t1s_belastning | powerlab/bornholm/nm/sec/ost/t1s_belastning | 516135","t1s_spendingvl3 | powerlab/bornholm/nm/sec/ost/t1s_spendingvl3 | 516142","t1s_10kvskinnespend | powerlab/bornholm/nm/sec/ost/t1s_10kvskinnespend | 516133","t1s_spendingvl2 | powerlab/bornholm/nm/sec/ost/t1s_spendingvl2 | 516141","t1s_aktiveffekt | powerlab/bornholm/nm/sec/ost/t1s_aktiveffekt | 516134","t1s_spendingvl1 | powerlab/bornholm/nm/sec/ost/t1s_spendingvl1 | 516140","t1p_belastningil2 | powerlab/bornholm/nm/sec/ost/t1p_belastningil2 | 516131","t1p_belastningil1 | powerlab/bornholm/nm/sec/ost/t1p_belastningil1 | 516130"
"2024-03-11 08:26:55",,,,,,0.85844224691391,,,,,,,,
"2024-03-11 08:27:05",,,,,,0.85844224691391,,,,,,,,
"2024-03-11 08:27:14",,,,,,,,,10.5142374038696,,,,,
"2024-03-11 08:27:15",,,,,,0.85844224691391,,,10.5142374038696,6.09601449966431,1.62765884399414,,,
"2024-03-11 08:27:25",,,,,,0.85844224691391,,,,,,,,
"2024-03-11 08:27:30",,,-29.9349956512451,,,,,,,,,,,
"2024-03-11 08:27:33",,,,,,0.866592109203339,,,,,,,,
"2024-03-11 08:27:35",,,,,,0.866592109203339,,,,,,,,
"2024-03-11 08:27:44",15.99658203125,-0.568601608276367,,,,,,,,,,,,
"2024-03-11 08:27:45",15.99658203125,-0.568601608276367,,,,0.866592109203339,,,,,1.6641960144043,,,
"2024-03-11 08:27:55",,,,,,0.866592109203339,,,,,,,,
"2024-03-11 08:28:05",,,,,,0.866592109203339,,,,,,,,
"2024-03-11 08:28:14",15.410626411438,,,,,,,,,,1.60736083984375,,,
"2024-03-11 08:28:15",15.410626411438,,,,,0.866592109203339,,,,,1.60736083984375,,,
"2024-03-11 08:28:25",,,,,,0.866592109203339,,,,,,,,
"2024-03-11 08:28:27",,,,,,,,,,,1.6641960144043,,,
"2024-03-11 08:28:30",,-0.584840774536133,,,,,,,,,1.6641960144043,,,
"2024-03-11 08:28:35",,,,,,0.866592109203339,,,,,,,,
"2024-03-11 08:28:45",,,,,,0.866592109203339,,,,,,,,
"2024-03-11 08:28:55",,,-30.1986751556396,,,0.866592109203339,,,,,,,,
"2024-03-11 08:28:58",,,,,,,,,,,1.615478515625,,15.6450090408325,
"2024-03-11 08:29:00",,,,,,,,,,,1.615478515625,,15.6450090408325,
"2024-03-11 08:29:02",,,,,,0.864286422729492,,,,,,,,
"2024-03-11 08:29:05",,,,,,0.864286422729492,,,,,,,,
"2024-03-11 08:29:15",,,,,,0.864286422729492,,,,,,,,
"2024-03-11 08:29:25",,,,,,0.864286422729492,,,,,,,,
"2024-03-11 08:29:28",,-0.605138778686523,,,,,,,,,,,,15.5864133834839
"2024-03-11 08:29:30",,-0.605138778686523,,,,,,,,,,6.03173875808716,,15.5864133834839
"2024-03-11 08:29:35",,,,,,0.864286422729492,,,,,,,,
"2024-03-11 08:29:45",,,,,,0.864286422729492,,5.9877610206604,,6.09263134002686,,,,
"2024-03-11 08:29:53",,,,,,,93.5477752685547,,,,,,,
"2024-03-11 08:29:55",,,,,,0.864286422729492,93.5477752685547,,,,,,,
"2024-03-11 08:30:03",,,-30.5063018798828,,,,,,,,,,,
"2024-03-11 08:30:05",,,-30.5063018798828,,,0.864286422729492,,,,,,,,
"2024-03-11 08:30:11",,,,,,0.861573338508606,,,,,,,,
"2024-03-11 08:30:15",,,,,,0.861573338508606,,,,,,,,
"2024-03-11 08:30:25",,,,,,0.861573338508606,,,,,,,,
"2024-03-11 08:30:35",,,,,,0.861573338508606,,,,,,,,
"2024-03-11 08:30:45",,,,,,0.861573338508606,,,,,1.60330009460449,,,
"2024-03-11 08:30:54",,,-29.5834217071533,,,,,,,,,,,
"2024-03-11 08:30:55",,,-29.5834217071533,,,0.861573338508606,,,,,,,,
"2024-03-11 08:31:03",,,,,,0.869637787342072,96.8291244506836,,,,,,,
"2024-03-11 08:31:05",,,,,,0.869637787342072,96.8291244506836,,,,,,,
"2024-03-11 08:31:15",,-0.580781936645508,,,,0.869637787342072,,,,,1.63983917236328,,,
"2024-03-11 08:31:25",,,,,,0.869637787342072,,,,,,,,
"2024-03-11 08:31:30",15.5864133834839,,,,,,,,,,,,,
